country,countrycode,year,month,cpi_yoy_nsa,exchnage_rate_vs_usd,ind_prod_const_sa,usa_imp_sa,exports_gdp_pct,gdp_per_capita_ppp,population
Singapore,SGP,2000,2,1.45338965784,1.70261904762,3007118239.64022,95901.0,188.35089028475105,68314.54440271664,4027887
Philippines,PHL,2000,2,2.57491632973,40.62428571429,6209766358.60359,95901.0,43.344219224021856,4740.438916945692,79625397
Malaysia,MYS,2000,2,1.70535785852,3.8,6048894181.98838,95901.0,119.80970872696766,18532.909670622656,22967816
Philippines,PHL,2000,3,2.94197344482,40.95173913043,6121529572.83681,99176.0,43.344219224021856,4740.438916945692,79625397
Thailand,THA,2000,3,1.33434312773,37.89760869565,6059716901.06516,99176.0,64.840250738685,11622.525027853724,63007815
Malaysia,MYS,2000,3,1.69006267995,3.8,6058623141.70466,99176.0,119.80970872696766,18532.909670622656,22967816
Singapore,SGP,2000,3,1.22568358047,1.7152173913,2854516210.84022,99176.0,188.35089028475105,68314.54440271664,4027887
Philippines,PHL,2000,4,3.32979031791,41.2096,6016565983.37694,99242.0,43.344219224021856,4740.438916945692,79625397
Singapore,SGP,2000,4,1.11126187246,1.70915,2953369698.98191,99242.0,188.35089028475105,68314.54440271664,4027887
Thailand,THA,2000,4,0.96023558317,37.97695,6078293416.9138,99242.0,64.840250738685,11622.525027853724,63007815
Malaysia,MYS,2000,4,1.64729168735,3.8,6001567173.80636,99242.0,119.80970872696766,18532.909670622656,22967816
Malaysia,MYS,2000,5,1.41807747472,3.8,6233235393.37849,99651.0,119.80970872696766,18532.909670622656,22967816
Philippines,PHL,2000,5,3.40639639119,41.86043478261,6375567089.5706,99651.0,43.344219224021856,4740.438916945692,79625397
Singapore,SGP,2000,5,0.51442418335,1.72830434783,3256260682.35201,99651.0,188.35089028475105,68314.54440271664,4027887
Thailand,THA,2000,5,1.64583651018,38.93717391304,6203224785.03471,99651.0,64.840250738685,11622.525027853724,63007815
Thailand,THA,2000,6,2.0133561694,39.05977272727,6576185661.95897,103019.0,64.840250738685,11622.525027853724,63007815
Philippines,PHL,2000,6,3.82143544353,42.68340909091,6578079810.60141,103019.0,43.344219224021856,4740.438916945692,79625397
Malaysia,MYS,2000,6,1.52000070715,3.8,6434510405.64429,103019.0,119.80970872696766,18532.909670622656,22967816
Singapore,SGP,2000,6,0.77917502304,1.72772727273,3267704312.75265,103019.0,188.35089028475105,68314.54440271664,4027887
Singapore,SGP,2000,7,1.15564697285,1.74080952381,3220529772.53724,103349.0,188.35089028475105,68314.54440271664,4027887
Malaysia,MYS,2000,7,1.50577882728,3.8,6306386498.92914,103349.0,119.80970872696766,18532.909670622656,22967816
Thailand,THA,2000,7,1.87476721497,40.25452380952,6605206203.11339,103349.0,64.840250738685,11622.525027853724,63007815
Philippines,PHL,2000,7,4.13172388647,44.47714285714,6473499122.74343,103349.0,43.344219224021856,4740.438916945692,79625397
Malaysia,MYS,2000,8,1.63108486068,3.80004347826,6333655984.92842,103665.0,119.80970872696766,18532.909670622656,22967816
Philippines,PHL,2000,8,4.35256545103,44.90665217391,6550222411.5877,103665.0,43.344219224021856,4740.438916945692,79625397
Thailand,THA,2000,8,2.18805390501,40.87043478261,6445773813.04347,103665.0,64.840250738685,11622.525027853724,63007815
Singapore,SGP,2000,8,1.62420209889,1.72017391304,3467724363.26594,103665.0,188.35089028475105,68314.54440271664,4027887
Singapore,SGP,2000,9,1.68705016505,1.73957142857,3471620067.23211,106396.0,188.35089028475105,68314.54440271664,4027887
Malaysia,MYS,2000,9,1.6168618077,3.80014285714,6502624492.25762,106396.0,119.80970872696766,18532.909670622656,22967816
Philippines,PHL,2000,9,4.18360755405,45.80571428571,6422356650.12442,106396.0,43.344219224021856,4740.438916945692,79625397
Thailand,THA,2000,9,2.3278099532,41.92738095238,6766461714.71491,106396.0,64.840250738685,11622.525027853724,63007815
Thailand,THA,2000,10,2.0557253247,43.26409090909,6552337438.68275,106056.0,64.840250738685,11622.525027853724,63007815
Malaysia,MYS,2000,10,1.89172736837,3.80018181818,6460493213.24961,106056.0,119.80970872696766,18532.909670622656,22967816
Singapore,SGP,2000,10,1.84129648935,1.752,3515020644.23028,106056.0,188.35089028475105,68314.54440271664,4027887
Philippines,PHL,2000,10,4.57844990548,48.40909090909,6625249056.79113,106056.0,43.344219224021856,4740.438916945692,79625397
Malaysia,MYS,2000,11,1.70814124167,3.8,6427649507.5489,103993.0,119.80970872696766,18532.909670622656,22967816
Thailand,THA,2000,11,2.06994828144,43.76104545455,6594501438.9862,103993.0,64.840250738685,11622.525027853724,63007815
Philippines,PHL,2000,11,5.71725571726,49.78068181818,6586426482.08368,103993.0,43.344219224021856,4740.438916945692,79625397
Singapore,SGP,2000,11,1.99012379084,1.74786363636,3536203534.54636,103993.0,188.35089028475105,68314.54440271664,4027887
Malaysia,MYS,2000,12,1.06162088696,3.80004761905,6403418348.95456,103673.0,119.80970872696766,18532.909670622656,22967816
Singapore,SGP,2000,12,2.06252449755,1.73519047619,3552699406.02813,103673.0,188.35089028475105,68314.54440271664,4027887
Thailand,THA,2000,12,1.60291187655,43.14904761905,6552118061.08991,103673.0,64.840250738685,11622.525027853724,63007815
Philippines,PHL,2000,12,6.39526109267,49.94761904762,6672766145.02549,103673.0,43.344219224021856,4740.438916945692,79625397
Singapore,SGP,2001,1,1.91274851597,1.73686956522,3082719244.73381,105470.0,182.8941807097714,65784.4018813783,4138012
Philippines,PHL,2001,1,7.50373578981,50.72173913043,6462828192.00873,105470.0,41.15550150745465,4778.400843747396,81401488
Malaysia,MYS,2001,1,1.50027075209,3.80008695652,6422248673.95591,105470.0,110.40249135654705,18186.441133014603,23526538
Thailand,THA,2001,1,1.48110236971,43.15739130435,6215510225.87619,105470.0,63.25068975665299,11901.31821046593,63651141
Malaysia,MYS,2001,2,1.56903417136,3.80025,6138228025.73741,100350.0,110.40249135654705,18186.441133014603,23526538
Singapore,SGP,2001,2,1.38972566976,1.743,3090693263.78957,100350.0,182.8941807097714,65784.4018813783,4138012
Thailand,THA,2001,2,1.46581711091,42.648,6132352471.15279,100350.0,63.25068975665299,11901.31821046593,63651141
Philippines,PHL,2001,2,7.55346837162,48.1875,6491390425.96146,100350.0,41.15550150745465,4778.400843747396,81401488
Philippines,PHL,2001,3,7.6617906968,48.55272727273,6522491851.49591,101853.0,41.15550150745465,4778.400843747396,81401488
Malaysia,MYS,2001,3,1.56167529467,3.80031818182,6038041367.51392,101853.0,110.40249135654705,18186.441133014603,23526538
Singapore,SGP,2001,3,1.84515730201,1.77327272727,3064032039.77106,101853.0,182.8941807097714,65784.4018813783,4138012
Thailand,THA,2001,3,1.47363231169,43.97045454545,6204172636.81618,101853.0,63.25068975665299,11901.31821046593,63651141
Thailand,THA,2001,4,2.41137536215,45.46404761905,6270025677.131,98164.0,63.25068975665299,11901.31821046593,63651141
Philippines,PHL,2001,4,7.46988853146,50.24833333333,6062120178.19403,98164.0,41.15550150745465,4778.400843747396,81401488
Singapore,SGP,2001,4,1.97667708906,1.81176190476,2966943792.48905,98164.0,182.8941807097714,65784.4018813783,4138012
Malaysia,MYS,2001,4,1.63657550808,3.80019047619,5914523899.24618,98164.0,110.40249135654705,18186.441133014603,23526538
Philippines,PHL,2001,5,7.45898583147,50.51347826087,6126933654.46174,95150.0,41.15550150745465,4778.400843747396,81401488
Thailand,THA,2001,5,2.62837677479,45.50760869565,6322477086.30411,95150.0,63.25068975665299,11901.31821046593,63651141
Singapore,SGP,2001,5,1.93403278159,1.81365217391,2902177714.05139,95150.0,182.8941807097714,65784.4018813783,4138012
Malaysia,MYS,2001,5,1.53685363529,3.80043478261,5989856683.20146,95150.0,110.40249135654705,18186.441133014603,23526538
Singapore,SGP,2001,6,1.21014911726,1.81704761905,2743792999.67659,94978.0,182.8941807097714,65784.4018813783,4138012
Thailand,THA,2001,6,2.08383870635,45.25238095238,6519271733.17756,94978.0,63.25068975665299,11901.31821046593,63651141
Malaysia,MYS,2001,6,1.49774861951,3.80019047619,5824089142.49898,94978.0,110.40249135654705,18186.441133014603,23526538
Philippines,PHL,2001,6,7.28556601675,51.59452380952,6236007185.90294,94978.0,41.15550150745465,4778.400843747396,81401488
Thailand,THA,2001,7,1.9729998377,45.62340909091,6606932802.05417,93680.0,63.25068975665299,11901.31821046593,63651141
Singapore,SGP,2001,7,1.29762414384,1.82309090909,2787802280.41947,93680.0,182.8941807097714,65784.4018813783,4138012
Malaysia,MYS,2001,7,1.35001332185,3.80040909091,5931530020.2233,93680.0,110.40249135654705,18186.441133014603,23526538
Philippines,PHL,2001,7,7.34399764107,53.25568181818,6128214145.70068,93680.0,41.15550150745465,4778.400843747396,81401488
Thailand,THA,2001,8,1.2692163204,44.89782608696,6475806277.06959,92569.0,63.25068975665299,11901.31821046593,63651141
Singapore,SGP,2001,8,0.7092953623,1.7602173913,2732471110.02489,92569.0,182.8941807097714,65784.4018813783,4138012
Malaysia,MYS,2001,8,1.22711539102,3.80052173913,5986412986.75208,92569.0,110.40249135654705,18186.441133014603,23526538
Philippines,PHL,2001,8,6.89610937013,51.83517391304,6507455764.97589,92569.0,41.15550150745465,4778.400843747396,81401488
Malaysia,MYS,2001,9,1.31492369256,3.8002,5888708787.71539,90957.0,110.40249135654705,18186.441133014603,23526538
Philippines,PHL,2001,9,6.78021737545,51.257,6082124962.91728,90957.0,41.15550150745465,4778.400843747396,81401488
Thailand,THA,2001,9,1.4032830654,44.3195,6478342185.06541,90957.0,63.25068975665299,11901.31821046593,63651141
Singapore,SGP,2001,9,0.54548115429,1.74885,2736001591.74424,90957.0,182.8941807097714,65784.4018813783,4138012
Philippines,PHL,2001,10,6.07172553415,51.77934782609,6061173442.096,91322.0,41.15550150745465,4778.400843747396,81401488
Singapore,SGP,2001,10,0.21536538998,1.81030434783,2777332576.01037,91322.0,182.8941807097714,65784.4018813783,4138012
Thailand,THA,2001,10,1.26122242669,44.72934782609,6551559387.51766,91322.0,63.25068975665299,11901.31821046593,63651141
Malaysia,MYS,2001,10,0.94391559727,3.80039130435,5916857072.42738,91322.0,110.40249135654705,18186.441133014603,23526538
Malaysia,MYS,2001,11,1.4345301842,3.80031818182,6079678419.98949,89979.0,110.40249135654705,18186.441133014603,23526538
Philippines,PHL,2001,11,5.06659515509,51.96840909091,6185205535.7023,89979.0,41.15550150745465,4778.400843747396,81401488
Singapore,SGP,2001,11,-0.21489401215,1.82904545455,3087588874.69153,89979.0,182.8941807097714,65784.4018813783,4138012
Thailand,THA,2001,11,0.87610966446,44.39113636364,6286216251.16534,89979.0,63.25068975665299,11901.31821046593,63651141
Singapore,SGP,2001,12,-0.5893025042,1.83776190476,2730523258.0418,86527.0,182.8941807097714,65784.4018813783,4138012
Malaysia,MYS,2001,12,1.1876756027,3.80038095238,5805833668.49568,86527.0,110.40249135654705,18186.441133014603,23526538
